indicator,year,forecast,ci_lower,ci_upper,pessimistic,base,optimistic
ACC_OWNERSHIP,2025,51.72386718572196,39.371229562294054,64.07650480914987,52.32386718572196,53.22386718572196,54.123867185721956
ACC_OWNERSHIP,2026,54.452939113146925,40.481489806712,68.42438841958185,55.452939113146925,56.952939113146925,58.452939113146925
ACC_OWNERSHIP,2027,57.182011040571886,41.512844697299414,72.85117738384436,58.182011040571886,59.682011040571886,61.182011040571886
ACC_MM_ACCOUNT,2025,9.597321428571423,,,10.397321428571423,11.597321428571423,12.797321428571422
ACC_MM_ACCOUNT,2026,11.226785714285707,,,12.426785714285707,14.226785714285707,16.026785714285708
ACC_MM_ACCOUNT,2027,12.856249999999992,,,14.056249999999991,15.856249999999992,17.656249999999993
